condition_handr_MekMut_vs_handr_dnFGFR	condition_handr_MekMut_vs_control	condition_handr_dnFGFR_vs_control	baseMean	stat	pvalue	padj
1	0.398320965223552	0.332510724179698	-0.065810241043854	6919.55717571555	27.3325782532872	1.16093002701903e-06	4.72375254512023e-05
2	-0.0817773655056921	-0.099672190281357	-0.0178948247756649	1998.98078449104	5.03289053573528	0.0807461280505301	0.380561548156788
3	-0.156639736156832	-0.154003520840884	0.0026362153159477	2635.20344103863	4.01980898549868	0.134001472169859	0.457073541499739
4	0.160724685430816	0.118215386878155	-0.0425092985526606	4860.53826202598	8.46812457729041	0.014493394448255	0.121382178504135
5	0.154210658676615	0.0744978762484898	-0.0797127824281249	1844.32913982153	4.7130602417493	0.0947484190284239	0.415566773196277
6	-0.315882381850616	-0.382856759822178	-0.0669743779715624	3423.94400234941	0.615879089044284	0.734959749008839	0.898296169093008
7	-0.0691036882465352	-0.0766702130143431	-0.0075665247678079	9064.96013605913	0.476442544398282	0.788028303045268	0.906386332947264
8	0.180479923763853	0.192467408940504	0.0119874851766503	38019.3504894373	5.09952041310385	0.0781003917181375	0.380561548156788
9	-0.565979778385831	-0.383319438714322	0.182660339671509	3792.62501921852	1.17006079153057	0.557088928410511	0.898296169093008
10	0.126176725537934	0.0623992981092229	-0.0637774274287107	3563.10242080201	4.52027698706488	0.104336033888219	0.428155199751136
11	0.136269288057973	0.0500681617344603	-0.0862011263235123	2419.2196517077	8.98742262359988	0.011179077681956	0.107431640278958
12	0.0342110935626251	0.0158402071639167	-0.0183708863987084	4410.02164807649	0.29752434781409	0.861774042883011	0.942675279561824
13	-0.303680267372669	-0.371137789730214	-0.0674575223575447	3463.19601521018	0.604614280147274	0.739111019411006	0.898296169093008
14	-0.0943236191876262	-0.108004960608621	-0.0136813414209946	1839.58342778339	1.2541963057227	0.534139545573695	0.898296169093008
15	-0.261673074989107	-0.26393271183436	-0.00225963684525258	5727.04342711999	4.13618287118629	0.126426845366239	0.451765260775359
16	0.115080513063397	0.0707239026350666	-0.0443566104283303	2178.25150558402	5.66975867707225	0.0587256113246202	0.366608980820803
17	-0.0406561722048388	-0.0536941909055528	-0.013038018700714	2681.97691385645	0.554600696689789	0.757826850885256	0.898661929368357
18	-0.109651482181822	-0.160098325703529	-0.050446843521707	3064.39692329001	4.57945130589766	0.1012942478204	0.428155199751136
19	0.155379001689094	0.214376341340314	0.0589973396512198	2061.39352160833	9.99601555619608	0.00675138386483621	0.0723748350310442
20	0.135118392975402	0.161954450133594	0.0268360571581923	252362.132061025	13.4412450120778	0.00120578737036028	0.0227657855818235
21	0.138534629256165	0.0824577864760185	-0.0560768427801466	19357.6854935809	1.38108133168964	0.501304957313968	0.898296169093008
22	-0.0400305351050371	0.142928730647853	0.182959265752891	2511.27189086097	1.14431652882141	0.56430620146329	0.898296169093008
23	-0.322268871068371	-0.416298307409226	-0.0940294363408556	3427.8160786985	0.753523375350568	0.686079555629233	0.898296169093008
24	0.0405173057606946	-0.00214266602278953	-0.0426599717834841	3707.8934521432	1.06493490304004	0.58715440578523	0.898296169093008
25	0.0879711716803187	0.0891422715056361	0.0011710998253174	6844.62489306616	1.18567339367203	0.55275705446635	0.898296169093008
26	-0.0331508650814945	-0.11622820506931	-0.0830773399878156	4668.09975098388	3.95889760910811	0.138145361423429	0.457073541499739
27	0.0175293739021433	0.0385018600161653	0.0209724861140219	2082.21872498674	0.422946908165102	0.809390766788024	0.910899130681076
28	0.0327665345549167	0.0227954936021907	-0.00997104095272603	2079.25957563894	0.385736047046692	0.824590793545763	0.916972334731388
29	0.181478779162458	0.195989380486761	0.0145106013243035	1969.5181996486	8.92107239680587	0.0115561652285828	0.107431640278958
30	0.0203755070933522	0.0966774859795705	0.0763019788862183	1352.48710152652	1.6291194954978	0.442834243224572	0.847711265601323
31	-0.161785114838262	-0.219005772077889	-0.0572206572396277	1843.20021071487	2.67557328986177	0.262425867874865	0.682816821266639
32	-0.291049768540359	-0.202478498382558	0.0885712701578018	4623.66121431484	0.428332926417795	0.807214002405004	0.910899130681076
33	0.0635841675268354	0.0765583688202453	0.0129742012934099	2574.7613418478	0.509804543791006	0.77499223278222	0.90303442776363
34	-0.180496277167244	-0.138559429355412	0.0419368478118317	1533.17300325428	3.53679647185325	0.170606040711391	0.537910810713564
35	-0.325344473199281	-0.0256081820084644	0.299736291190816	4451.11929795877	28.1917796226941	7.55497162261631e-07	4.04946478972234e-05
36	0.0570316375290866	0.0620697843262636	0.00503814679717697	3000.32199492461	2.32736656609163	0.312333646405808	0.725854232429424
37	1.22105732427207	0.65528289890758	-0.565774425364485	3984.13746369113	118.585974872596	1.77575375154491e-26	4.75902005414037e-24
38	0.00247843408018511	-0.0790252074823296	-0.0815036415625147	2813.8041673981	5.60982315936158	0.0605121214371343	0.366608980820803
39	0.0714994154818524	0.0256924912252304	-0.045806924256622	3112.83547099213	0.787146828864962	0.674641787314833	0.898296169093008
40	0.122836045107674	0.0817041208210019	-0.0411319242866722	1900.988990064	5.16792054711632	0.07547451166558	0.380561548156788
41	0.147360425079267	0.153514553205557	0.00615412812628997	87971.77433393	24.6876218033147	4.35663363166507e-06	0.00014594722666078
42	-0.153954283232624	-0.0956979467707414	0.0582563364618823	3042.70740185429	4.18414849407355	0.123430844040619	0.451765260775359
43	-0.14666679364073	-0.0888048899500566	0.0578619036906736	2613.4509359563	5.35128105371291	0.0688627058528277	0.380561548156788
44	0.0399368676011634	0.0434534616472233	0.00351659404605988	6340.1983100921	0.628443828080123	0.730356933716726	0.898296169093008
