condition_FoxF_KO_vs_control	condition_mesp_MekMut_vs_mesp_dnFGFR	condition_mesp_MekMut_vs_control	condition_mesp_dnFGFR_vs_control	baseMean	stat	pvalue	padj
1	0.0301400727658164	0.42460129878023	0.375167496528972	-0.0494338022512572	14492.3180546288	142.326893009598	1.19045032197609e-30	3.19040686289592e-29
2	-0.0323808317430273	0.175343098793691	0.111056900947421	-0.0642861978462697	4312.31703144144	14.8006385059841	0.00199519111802901	0.003713272358554
3	0.0668619000240239	0.0986524371898423	0.164913708003557	0.0662612708137151	5402.61783776025	7.18087025819204	0.0663508954258685	0.093589684074383
4	0.0401055166458524	0.227836105065676	0.203637360909648	-0.0241987441560279	10250.1456215693	39.0652256999225	1.6813105426936e-08	6.43701750631262e-08
5	-0.0413503495173541	-0.570163477957476	-0.571451367392396	-0.00128788943491997	3669.38045370149	154.970017470629	2.23114597934633e-33	6.64385691627575e-32
6	0.422064450619815	-1.33317442509037	-0.854917468652731	0.478256956437639	8625.87264291236	11.8563137221446	0.00789193198592177	0.0133021243536291
7	-0.0484087924085873	0.453905113629825	0.356321185931609	-0.0975839276982165	20414.5189618039	48.1693068762375	1.9599448094464e-10	9.55027652602974e-10
8	0.0178670709114549	0.367645914062855	0.30823293469513	-0.0594129793677242	87496.6911986383	37.7993751708208	3.11685863025719e-08	1.13405692453931e-07
9	-0.0169130381787784	-0.306372065064852	-0.30591363303846	0.000458432026392457	3525.28978029401	41.3495333633925	5.51295379479378e-09	2.34519304286465e-08
10	0.00331162412312132	0.0167471006637106	0.0903486890584819	0.0736015883947713	7316.85156374159	1.96217947829538	0.580293485330924	0.62207461627475
11	-0.00442038760095093	0.0655166418764395	-0.000899493768428762	-0.0664161356448683	4567.59580842732	2.77762356467952	0.42719673561529	0.481045063634024
12	-0.0349941237493021	0.194842964502634	0.142808459038181	-0.0520345054644529	9309.12207365005	10.6775789489085	0.0136034192173551	0.021445390295595
13	0.404765881263897	-1.30781258111215	-0.831686883153779	0.476125697958367	8734.52599031969	11.7495292410964	0.00829232233851834	0.0138896399170182
14	0.00749511067961208	-0.449879325061988	-0.317931159695858	0.131948165366131	4058.62411814231	62.6600223314518	1.58765654658078e-13	1.11971566969381e-12
15	0.0931983594704698	0.357284683184131	0.534004691456428	0.176720008272297	11873.0488549276	28.4501263751345	2.92177623284008e-06	8.41974226237788e-06
16	-0.0582455380809236	-0.111646534845194	-0.19797927356065	-0.086332738715456	4197.13413989702	23.1533291448749	3.75176260524225e-05	9.14065798368113e-05
17	-0.00987227384645482	0.188962046864764	0.15220964438341	-0.0367524024813536	5578.27774066852	15.0611588647889	0.00176512336346068	0.00333135958737649
18	-0.0190861538680345	0.330475439377821	0.247019008230654	-0.0834564311471678	6584.3924499096	25.5004226939893	1.21337075637885e-05	3.21963725454982e-05
19	0.031508873321999	-0.351626449472678	-0.249138479361606	0.102487970111072	4024.77864932454	31.3138568513772	7.30044420596101e-07	2.28800827509425e-06
20	-0.0597587839364562	0.350957688631428	0.366899883064149	0.0159421944327206	605445.973944008	36.2024966190954	6.78534096328464e-08	2.3616511404679e-07
21	0.0460806347407529	-0.240433478777911	-0.30248991941084	-0.0620564406329292	43309.3924001645	5.65206774911704	0.12982095968422	0.173960085976854
22	-0.0229838280411249	-0.0020530863498985	0.0147673679977748	0.0168204543476733	4802.63488704069	0.586275294968601	0.899567017037991	0.916669051582439
23	0.390064244140122	-1.26041240164097	-0.810658841504464	0.449753560136507	8808.46017142766	11.247829983674	0.0104585420557408	0.0169872077026578
24	0.0200990815250782	0.0275385106214677	0.0102649926153252	-0.0172735180061425	7219.56529706291	0.486558531388255	0.921834363331369	0.935749802747955
25	-0.0770528900900949	-0.219117398354426	-0.266788937611636	-0.0476715392572097	13182.8359384119	74.2963454474209	5.12754062053702e-16	4.5806029543464e-15
26	-0.0237824686481179	0.222390455197169	0.139867143440988	-0.0825233117561812	9599.53549870272	17.2463803271956	0.000628885599780773	0.00129647185185575
27	-0.0436487797222039	0.247052293707901	0.150981361805321	-0.0960709319025796	4518.89510209091	24.7501125678037	1.74140384309675e-05	4.40279462216913e-05
28	0.00120315104136378	-0.132163450501196	-0.120116293994566	0.0120471565066296	4192.20975795116	6.95177400979222	0.0734508874833324	0.102525197112151
29	0.0121901518980201	-0.279688380161452	-0.166491885166074	0.113196494995378	3885.89575797767	17.295305118395	0.000614471434307724	0.0012865495655818
30	-0.0568137007641729	-0.472296736952444	-0.363700701195539	0.108596035756905	2500.55101342706	64.8739622839169	5.33727343348276e-14	3.86591697344156e-13
31	0.0560574355148532	-0.208694136409212	-0.1425517248706	0.0661424115386121	3394.34862280655	6.87978629865461	0.075829713145026	0.105297218253197
32	-0.0261989274063146	-0.0363716808904922	-0.0630597442709396	-0.0266880633804473	5448.19037557044	5.23474065293397	0.155393465448113	0.201185742705769
33	0.207443117964867	-0.500021643140848	-0.434228659182196	0.0657929839586522	6596.39980266208	45.8488459261554	6.1070869347407e-10	2.77406660764493e-09
34	0.00167181511970238	-0.184292767375569	-0.0757336648717867	0.108559102503782	3678.41257582885	10.952811024344	0.0119838001213683	0.0191170144793256
35	0.0373823832442661	-0.114176712506149	0.275343897175328	0.389520609681476	8858.97755100428	57.0127220985631	2.55386041593411e-12	1.5555331624326e-11
36	-0.0168634961942197	-0.115731221237155	-0.151585039530909	-0.0358538182937541	6143.74397376011	16.7649346950383	0.000789929267503006	0.00161603850145653
